asset,curr,gran,high,rfc3339
BTC,EUR,Hour,31050.0,2021-01-10T23:00:00Z
BTC,EUR,Hour,30961.6,2021-01-11T00:00:00Z
BTC,EUR,Hour,30100.0,2021-01-11T01:00:00Z
BTC,EUR,Hour,30198.41,2021-01-11T02:00:00Z
BTC,EUR,Hour,29559.29,2021-01-11T03:00:00Z
BTC,EUR,Hour,29214.13,2021-01-11T04:00:00Z
BTC,EUR,Hour,29096.58,2021-01-11T05:00:00Z
BTC,EUR,Hour,28475.75,2021-01-11T06:00:00Z
BTC,EUR,Hour,26226.7,2021-01-11T07:00:00Z
BTC,EUR,Hour,28170.55,2021-01-11T08:00:00Z
BTC,EUR,Hour,29267.93,2021-01-11T09:00:00Z
BTC,EUR,Hour,29416.96,2021-01-11T10:00:00Z
BTC,EUR,Hour,29225.45,2021-01-11T11:00:00Z
BTC,EUR,Hour,28106.7,2021-01-11T12:00:00Z
BTC,EUR,Hour,28122.34,2021-01-11T13:00:00Z
BTC,EUR,Hour,27290.6,2021-01-11T14:00:00Z
BTC,EUR,Hour,27580.11,2021-01-11T15:00:00Z
BTC,EUR,Hour,25979.09,2021-01-11T16:00:00Z
BTC,EUR,Hour,26038.08,2021-01-11T17:00:00Z
BTC,EUR,Hour,27134.25,2021-01-11T18:00:00Z
BTC,EUR,Hour,26940.52,2021-01-11T19:00:00Z
BTC,EUR,Hour,26551.25,2021-01-11T20:00:00Z
BTC,EUR,Hour,27589.85,2021-01-11T21:00:00Z
BTC,EUR,Hour,28093.48,2021-01-11T22:00:00Z
BTC,EUR,Hour,28473.94,2021-01-11T23:00:00Z
BTC,EUR,Hour,29264.24,2021-01-12T00:00:00Z
BTC,EUR,Hour,28865.25,2021-01-12T01:00:00Z
BTC,EUR,Hour,28266.77,2021-01-12T02:00:00Z
BTC,EUR,Hour,28461.2,2021-01-12T03:00:00Z
BTC,EUR,Hour,28783.7,2021-01-12T04:00:00Z
BTC,EUR,Hour,29181.96,2021-01-12T05:00:00Z
BTC,EUR,Hour,29607.18,2021-01-12T06:00:00Z
BTC,EUR,Hour,29813.85,2021-01-12T07:00:00Z
BTC,EUR,Hour,30148.59,2021-01-12T08:00:00Z
BTC,EUR,Hour,29667.5,2021-01-12T09:00:00Z
BTC,EUR,Hour,29695.41,2021-01-12T10:00:00Z
BTC,EUR,Hour,29050.0,2021-01-12T11:00:00Z
BTC,EUR,Hour,29255.0,2021-01-12T12:00:00Z
BTC,EUR,Hour,29010.21,2021-01-12T13:00:00Z
BTC,EUR,Hour,27572.68,2021-01-12T14:00:00Z
BTC,EUR,Hour,27770.0,2021-01-12T15:00:00Z
BTC,EUR,Hour,27987.63,2021-01-12T16:00:00Z
BTC,EUR,Hour,28873.79,2021-01-12T17:00:00Z
BTC,EUR,Hour,28827.98,2021-01-12T18:00:00Z
BTC,EUR,Hour,28789.51,2021-01-12T19:00:00Z
BTC,EUR,Hour,28482.25,2021-01-12T20:00:00Z
BTC,EUR,Hour,28147.55,2021-01-12T21:00:00Z
BTC,EUR,Hour,28500.0,2021-01-12T22:00:00Z
BTC,EUR,Hour,27704.69,2021-01-12T23:00:00Z
BTC,EUR,Hour,27945.2,2021-01-13T00:00:00Z
BTC,EUR,Hour,26840.74,2021-01-13T01:00:00Z
BTC,EUR,Hour,27252.38,2021-01-13T02:00:00Z
BTC,EUR,Hour,27228.74,2021-01-13T03:00:00Z
BTC,EUR,Hour,27767.11,2021-01-13T04:00:00Z
BTC,EUR,Hour,27382.49,2021-01-13T05:00:00Z
BTC,EUR,Hour,27369.62,2021-01-13T06:00:00Z
BTC,EUR,Hour,27731.5,2021-01-13T07:00:00Z
BTC,EUR,Hour,28695.07,2021-01-13T08:00:00Z
BTC,EUR,Hour,28399.91,2021-01-13T09:00:00Z
BTC,EUR,Hour,28331.01,2021-01-13T10:00:00Z
BTC,EUR,Hour,28720.0,2021-01-13T11:00:00Z
BTC,EUR,Hour,28396.68,2021-01-13T12:00:00Z
BTC,EUR,Hour,28209.85,2021-01-13T13:00:00Z
BTC,EUR,Hour,28479.24,2021-01-13T14:00:00Z
BTC,EUR,Hour,28295.39,2021-01-13T15:00:00Z
BTC,EUR,Hour,28649.43,2021-01-13T16:00:00Z
BTC,EUR,Hour,28625.0,2021-01-13T17:00:00Z
BTC,EUR,Hour,28702.52,2021-01-13T18:00:00Z
BTC,EUR,Hour,29455.26,2021-01-13T19:00:00Z
BTC,EUR,Hour,29756.95,2021-01-13T20:00:00Z
BTC,EUR,Hour,29848.87,2021-01-13T21:00:00Z
BTC,EUR,Hour,30836.78,2021-01-13T22:00:00Z
BTC,EUR,Hour,30746.27,2021-01-13T23:00:00Z
BTC,EUR,Hour,30864.46,2021-01-14T00:00:00Z
BTC,EUR,Hour,31105.0,2021-01-14T01:00:00Z
BTC,EUR,Hour,30836.84,2021-01-14T02:00:00Z
BTC,EUR,Hour,30884.78,2021-01-14T03:00:00Z
BTC,EUR,Hour,30614.94,2021-01-14T04:00:00Z
BTC,EUR,Hour,30999.0,2021-01-14T05:00:00Z
BTC,EUR,Hour,30937.66,2021-01-14T06:00:00Z
BTC,EUR,Hour,31221.81,2021-01-14T07:00:00Z
BTC,EUR,Hour,31578.0,2021-01-14T08:00:00Z
BTC,EUR,Hour,31680.43,2021-01-14T09:00:00Z
BTC,EUR,Hour,31300.27,2021-01-14T10:00:00Z
BTC,EUR,Hour,31694.08,2021-01-14T11:00:00Z
BTC,EUR,Hour,31636.55,2021-01-14T12:00:00Z
BTC,EUR,Hour,31559.56,2021-01-14T13:00:00Z
BTC,EUR,Hour,32230.25,2021-01-14T14:00:00Z
BTC,EUR,Hour,32700.01,2021-01-14T15:00:00Z
BTC,EUR,Hour,32744.08,2021-01-14T16:00:00Z
BTC,EUR,Hour,32426.85,2021-01-14T17:00:00Z
BTC,EUR,Hour,32428.89,2021-01-14T18:00:00Z
BTC,EUR,Hour,32430.98,2021-01-14T19:00:00Z
BTC,EUR,Hour,32832.79,2021-01-14T20:00:00Z
BTC,EUR,Hour,32362.38,2021-01-14T21:00:00Z
BTC,EUR,Hour,31830.21,2021-01-14T22:00:00Z
BTC,EUR,Hour,32038.63,2021-01-14T23:00:00Z
BTC,EUR,Hour,32295.44,2021-01-15T00:00:00Z
BTC,EUR,Hour,32465.0,2021-01-15T01:00:00Z
BTC,EUR,Hour,32199.64,2021-01-15T02:00:00Z
BTC,EUR,Hour,32260.74,2021-01-15T03:00:00Z
BTC,EUR,Hour,31805.63,2021-01-15T04:00:00Z
BTC,EUR,Hour,31665.23,2021-01-15T05:00:00Z
BTC,EUR,Hour,31172.93,2021-01-15T06:00:00Z
BTC,EUR,Hour,31369.61,2021-01-15T07:00:00Z
BTC,EUR,Hour,31757.47,2021-01-15T08:00:00Z
BTC,EUR,Hour,31582.08,2021-01-15T09:00:00Z
BTC,EUR,Hour,31901.22,2021-01-15T10:00:00Z
BTC,EUR,Hour,31770.25,2021-01-15T11:00:00Z
BTC,EUR,Hour,31511.73,2021-01-15T12:00:00Z
BTC,EUR,Hour,31189.69,2021-01-15T13:00:00Z
BTC,EUR,Hour,31048.32,2021-01-15T14:00:00Z
BTC,EUR,Hour,30498.45,2021-01-15T15:00:00Z
BTC,EUR,Hour,29349.68,2021-01-15T16:00:00Z
BTC,EUR,Hour,29971.33,2021-01-15T17:00:00Z
BTC,EUR,Hour,29850.0,2021-01-15T18:00:00Z
BTC,EUR,Hour,29538.53,2021-01-15T19:00:00Z
BTC,EUR,Hour,29205.38,2021-01-15T20:00:00Z
BTC,EUR,Hour,29486.06,2021-01-15T21:00:00Z
BTC,EUR,Hour,30150.0,2021-01-15T22:00:00Z
BTC,EUR,Hour,30395.0,2021-01-15T23:00:00Z
BTC,EUR,Hour,30561.67,2021-01-16T00:00:00Z
BTC,EUR,Hour,30882.83,2021-01-16T01:00:00Z
BTC,EUR,Hour,30691.96,2021-01-16T02:00:00Z
BTC,EUR,Hour,30037.54,2021-01-16T03:00:00Z
BTC,EUR,Hour,30409.47,2021-01-16T04:00:00Z
BTC,EUR,Hour,30362.07,2021-01-16T05:00:00Z
BTC,EUR,Hour,29810.6,2021-01-16T06:00:00Z
BTC,EUR,Hour,30023.21,2021-01-16T07:00:00Z
BTC,EUR,Hour,30407.41,2021-01-16T08:00:00Z
BTC,EUR,Hour,31039.69,2021-01-16T09:00:00Z
BTC,EUR,Hour,31124.59,2021-01-16T10:00:00Z
